s18, o, f, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
OW	2	OKAY	632.0	1545.0	18.846	18.824	18.924	0.1	62	1	6	1	0	1			494.0	1579.0	680.0	1522.0	686.0	1432.0	598.0	1361.0	503.0	1286.0	5	
EY	1	OKAY	599.0	2044.0	19.053	19.014	19.184	0.17	22	0	0	0	6	0			553.0	2129.0	587.0	1989.0	541.0	2081.0	500.0	2177.0	435.0	2213.0	5	
AY	1	I'M	832.0	1186.0	64.833	64.791	64.881	0.09	41	4	1	2	0	0		m	480.0	1506.0	679.0	1505.0	877.0	1217.0	854.0	1196.0	928.0	1252.0	6	
ER	0	ORIGINALLY	601.0	1206.0	64.984	64.941	65.071	0.13	94	0	0	0	0	2			533.0	1130.0	607.0	1221.0	510.0	1069.0	427.0	1048.0	445.0	1215.0	6	
IH	1	ORIGINALLY	493.0	1595.0	65.091	65.071	65.131	0.06	1	2	5	2	7	5			482.0	1536.0	484.0	1545.0	496.0	1671.0	459.0	1736.0	456.0	1737.0	5	
IY	0	ORIGINALLY	570.0	1781.0	65.311	65.291	65.351	0.06	12	0	0	0	7	0			584.0	1662.0	583.0	1679.0	532.0	1936.0	457.0	2082.0	454.0	2082.0	5	
AH	1	COLUMBUS	772.0	1195.0	65.751	65.731	65.791	0.06	6	4	1	2	7	4			763.0	1169.0	764.0	1173.0	780.0	1219.0	715.0	1225.0	706.0	1226.0	5	
AH	0	COLUMBUS	525.0	1479.0	65.884	65.861	65.931	0.07	*	3	4	1	1	0			500.0	1411.0	512.0	1438.0	521.0	1543.0	489.0	1601.0	459.0	1626.0	5	
AY	1	I'M	928.0	1346.0	67.891	67.866	67.936	0.07	41	4	1	2	0	0		m	709.0	1428.0	994.0	1379.0	908.0	1346.0	738.0	1258.0	664.0	1253.0	5	
EH	1	EVENT	610.0	1733.0	68.156	68.126	68.216	0.09	2	4	4	2	1	3			536.0	1655.0	581.0	1700.0	661.0	1796.0	653.0	1754.0	641.0	1727.0	5	
EY	2	COORDINATOR	560.0	2212.0	68.601	68.556	68.646	0.09	21	1	4	1	4	1			498.0	2068.0	530.0	2175.0	560.0	2212.0	565.0	2172.0	579.0	2163.0	6	
ER	0	COORDINATOR	603.0	1505.0	68.723	68.676	68.816	0.14	94	0	0	0	3	0			626.0	1705.0	603.0	1534.0	608.0	1411.0	540.0	1372.0	406.0	1313.0	6	
ER	0	FOR	442.0	1099.0	69.043	68.986	69.156	0.17	94	0	0	0	1	0			416.0	1066.0	446.0	1093.0	412.0	1121.0	388.0	1146.0	395.0	1110.0	6	
IH	1	WHICH	483.0	1326.0	70.387	70.37	70.42	0.05	1	2	5	1	9	0			479.0	1248.0	479.0	1248.0	477.0	1463.0	427.0	1652.0	427.0	1652.0	5	
EY	1	CATERER	500.0	2241.0	71.781	71.744	71.824	0.08	21	1	4	1	6	2			412.0	2318.0	406.0	2305.0	499.0	2234.0	488.0	1214.0	489.0	857.0	6	
ER	0	CATERER	484.0	1497.0	71.874	71.854	71.914	0.06	94	0	0	0	3	1			476.0	1535.0	478.0	1527.0	486.0	1456.0	474.0	1358.0	473.0	1354.0	5	
ER	0	CATERER	495.0	1317.0	71.944	71.914	72.004	0.09	94	0	0	0	7	0			499.0	1319.0	499.0	1311.0	478.0	1354.0	474.0	1285.0	456.0	1307.0	6	
ER	1	GERMAN	466.0	1554.0	72.395	72.378	72.428	0.05	94	4	1	2	5	1			440.0	1554.0	440.0	1554.0	501.0	1564.0	515.0	1310.0	515.0	1310.0	5	
IH	1	VILLAGE	557.0	1493.0	72.618	72.598	72.658	0.06	1	5	4	2	1	1			523.0	1494.0	528.0	1495.0	599.0	1477.0	638.0	1440.0	639.0	1437.0	5	
IH	0	VILLAGE	585.0	1626.0	72.755	72.718	72.828	0.11	1	2	5	2	7	0			658.0	1365.0	614.0	1570.0	543.0	1784.0	498.0	2035.0	450.0	2138.0	5	
AY	1	I'M	1001.0	1360.0	75.669	75.577	75.887	0.31	41	4	1	2	0	0			810.0	1073.0	994.0	1290.0	822.0	1593.0	768.0	1938.0	616.0	2058.0	6	
