s22, o, m, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
AH	1	HUH	462.0	1528.0	22.174	22.151	22.221	0.07	6	0	0	0	0	0			327.0	1545.0	388.0	1532.0	541.0	1523.0	498.0	1489.0	473.0	1476.0	6	
EH	1	WHERE	499.0	1519.0	24.025	24.008	24.058	0.05	2	6	4	2	9	0			469.0	1474.0	469.0	1474.0	522.0	1594.0	541.0	1711.0	541.0	1711.0	6	
ER	0	ARE	613.0	1538.0	24.155	24.138	24.188	0.05	94	0	0	0	0	0			624.0	1495.0	624.0	1495.0	577.0	1627.0	469.0	1740.0	469.0	1740.0	6	
AH	1	UH	661.0	1561.0	24.544	24.467	24.697	0.23	6	0	0	0	0	0			606.0	1670.0	665.0	1546.0	588.0	1585.0	636.0	1557.0	640.0	1559.0	6	
UW	1	YOU	428.0	2049.0	25.278	25.258	25.318	0.06	72	0	0	0	9	0			386.0	2181.0	391.0	2167.0	485.0	1846.0	518.0	1508.0	513.0	1474.0	6	
AH	1	FROM	648.0	1304.0	25.475	25.448	25.528	0.08	6	4	1	2	8	0			651.0	1346.0	638.0	1334.0	710.0	1284.0	741.0	1369.0	635.0	1324.0	6	
EY	1	SAY	669.0	1821.0	25.798	25.768	25.828	0.06	22	0	0	0	3	0			511.0	1676.0	525.0	1679.0	669.0	1821.0	622.0	1885.0	615.0	1896.0	5	
OW	1	OH	710.0	996.0	30.545	30.463	30.793	0.33	63	0	0	0	0	0			708.0	1040.0	747.0	926.0	751.0	798.0	700.0	615.0	527.0	794.0	6	
AH	1	HUH	536.0	1308.0	31.046	30.963	31.213	0.25	6	0	0	0	0	0			703.0	1160.0	569.0	1321.0	527.0	1345.0	869.0	1134.0	447.0	1320.0	6	
EH	1	WELL	584.0	1497.0	64.392	64.352	64.472	0.12	2	5	4	2	9	0			537.0	1231.0	566.0	1455.0	632.0	1611.0	596.0	1658.0	680.0	1532.0	5	
AH	1	UH	846.0	1299.0	64.615	64.562	64.722	0.16	6	0	0	0	0	0			788.0	1274.0	860.0	1296.0	536.0	1347.0	645.0	1463.0	590.0	1632.0	5	
AY	1	I	875.0	1666.0	65.577	65.527	65.627	0.1	41	0	0	0	0	0		m	1188.0	1601.0	830.0	1606.0	686.0	1632.0	908.0	1688.0	859.0	1624.0	5	
AH	1	WAS	458.0	1447.0	65.717	65.697	65.757	0.06	6	3	4	2	9	0			503.0	1348.0	491.0	1370.0	414.0	1595.0	363.0	1798.0	359.0	1815.0	5	
