age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	plt_vclass	ipa_vclass	plt_manner	plt_place	plt_voice	plt_preseg	plt_folseq	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants
o						s25	f		0			AO	1		FOUR		292.7	911.2	2665.9	254.1	214.9	895.3	0.428	0.398	0.488	0.09	owr	owr	central	apical	voiced	oral_labial				F	R	internal	2		F AO1 R		464.8	1223.5	290.2	908.9	290.9	902.5	321.8	942.6	347.8	962.8	6
o						s25	f		0			UW	1		EW	AND	360.3	1928.8	2655.2	76.3	264.4	232.2	12.736	12.709	12.789	0.08	uw	u				w/y				Y	AH0	final	2		Y UW1	AH0 N D	379.0	2045.2	365.7	1973.3	365.0	1835.3	385.8	1733.5	394.7	1706.5	5
o						s25	f		0			AH	0	EW	AND	I	478.5	1699.2	2695.2	56.9	142.3	289.2	12.816	12.789	12.869	0.08	@	ə	nasal	apical	voiced		complex_coda			UW1	N	initial	1	Y UW1	AH0 N D	AY1	441.0	1700.9	464.9	1704.4	498.7	1699.2	498.3	1749.0	488.8	1786.6	5
o						s25	f		0			AY	1	AND	I	HATE	604.4	1841.7	2896.3	272.4	353.4	247.8	12.96	12.929	13.019	0.09	ay	aj								D	HH	coextensive	1	AH0 N D	AY1	HH EY1 T	403.4	1694.3	511.9	1807.5	604.0	1844.4	516.5	2022.5	408.5	2205.0	5
o						s25	f		0			EY	1	I	HATE	HEARING	703.4	2529.1	3065.4	327.2	306.0	676.8	13.101	13.089	13.219	0.13	ey	ej	stop	apical	voiceless					HH	T	internal	2	AY1	HH EY1 T	HH IY1 R IH0 NG	703.4	2529.1	430.2	2434.8	422.8	2417.0	387.9	2473.7	383.7	2460.8	5
o						s25	f		0			IY	1	HATE	HEARING	MYSELF	348.4	2338.4	2811.9	116.9	385.6	285.1	13.329	13.299	13.389	0.09	iyr	ir	central	apical	voiced		one_fol_syll			HH	R	internal	2	HH EY1 T	HH IY1 R IH0 NG	M AY2 S EH1 L F	407.0	2251.7	312.0	2252.6	403.4	2225.9	429.7	2126.6	449.7	2002.5	6
o						s25	f		0			AY	2	HEARING	MYSELF	ON	683.2	1654.2	2509.0	184.0	164.2	237.3	13.543	13.509	13.589	0.08	ay0	aj0	fricative	apical	voiceless	nasal_labial	one_fol_syll		s	M	S	internal	2	HH IY1 R IH0 NG	M AY2 S EH1 L F	AA1 N	437.7	1400.8	543.0	1344.4	678.9	1610.2	638.8	1744.4	506.6	1922.1	5
o						s25	f		0			EH	1	HEARING	MYSELF	ON	548.1	1607.6	2780.0	97.9	111.3	228.5	13.742	13.719	13.789	0.07	e	ɛ	lateral	apical	voiced	oral_apical	complex_coda			S	L	internal	4	HH IY1 R IH0 NG	M AY2 S EH1 L F	AA1 N	488.3	1689.6	511.1	1639.1	610.9	1575.5	652.7	1465.4	654.3	1420.9	5
o						s25	f		0			AA	1	MYSELF	ON		543.3	1165.1	2784.6	301.3	175.5	126.1	13.936	13.909	13.989	0.08	o	ɑ	nasal	apical	voiced					F	N	initial	1	M AY2 S EH1 L F	AA1 N		505.8	1089.2	527.1	1123.9	579.9	1246.5	614.5	1276.3	576.6	1291.0	6
o						s25	f		0			EY	1		OKAY		583.4	2131.4	2786.5	178.3	165.8	157.7	26.354	26.323	26.473	0.15	eyF	ejF				velar				K		final	3		OW2 K EY1		381.2	2181.0	471.2	2150.2	410.8	2064.8	310.0	2093.4	311.5	2111.8	6
o						s25	f		0			AY	1	I	MIGHT	WANT	638.4	1818.4	2795.6	180.9	189.4	325.4	27.412	27.357	27.467	0.11	ay0	aj0	stop	apical	voiceless	nasal_labial			s	M	T	internal	2	AY1	M AY1 T	W AA1 N T	303.6	1127.7	405.1	1361.0	602.7	1740.4	666.5	1895.4	622.7	2025.5	5
o						s25	f		0			AA	1	MIGHT	WANT	TO	505.5	1155.2	2683.5	359.2	219.6	406.4	27.574	27.557	27.607	0.05	o	ɑ	nasal	apical	voiced	w/y	complex_coda			W	N	internal	2	M AY1 T	W AA1 N T	T AH0	504.9	1101.8	504.9	1101.8	488.9	1259.9	443.9	1399.3	443.9	1399.3	5
o						s25	f		0			AY	1	TO	TRY	TO	672.9	1919.9	2640.0	467.5	141.1	220.2	27.904	27.917	28.017	0.1	ay	aj				obstruent_liquid			m	R	T	final	3	T AH0	T R AY1	T AH0	428.1	1912.4	335.5	1880.7	564.4	1668.2	636.0	1923.0	465.7	1709.6	6
o						s25	f		0			AH	0	TO	ADJUST	THIS	473.0	1849.8	2552.7	259.4	181.0	156.3	28.107	28.087	28.147	0.06	@	ə	affricate	palatal	voiced		one_fol_syll			AH0	JH	initial	1	T AH0	AH0 JH AH1 S T	DH IH0 S	477.0	1836.6	476.8	1837.8	457.3	1864.2	397.2	1889.7	392.2	1889.0	5
o						s25	f		0			AH	1	TO	ADJUST	THIS	469.7	1940.1	2769.0	486.9	160.6	222.5	28.304	28.267	28.377	0.11	uh	ʌ	fricative	apical	voiceless	palatal	complex_coda			JH	S	internal	3	T AH0	AH0 JH AH1 S T	DH IH0 S	372.3	1984.6	437.4	1936.6	532.3	1951.0	483.3	1862.9	367.8	1864.2	5
o						s25	f		0			IH	0	ADJUST	THIS	A	354.4	1759.8	2580.4	242.4	85.4	219.8	28.514	28.497	28.547	0.05	i	ɪ	fricative	apical	voiceless	oral_apical				DH	S	internal	2	AH0 JH AH1 S T	DH IH0 S	AH0	342.6	1741.4	342.6	1741.4	368.2	1769.2	381.7	1773.0	381.7	1773.0	5
o						s25	f		0			AH	0	THIS	A	LITTLE	459.0	1514.6	2715.6	209.3	167.1	217.1	28.677	28.657	28.717	0.06	@	ə								S	L	coextensive	1	DH IH0 S	AH0	L IH1 T AH0 L	478.6	1539.7	476.4	1537.4	411.7	1534.5	423.0	1555.5	426.4	1551.1	5
o						s25	f		0			IH	1	A	LITTLE	BIT	442.3	1337.4	2754.4	252.8	351.5	237.9	28.777	28.757	28.817	0.06	i	ɪ	stop	apical	voiceless	liquid	one_fol_syll			L	T	internal	2	AH0	L IH1 T AH0 L	B IH1 T	433.0	1311.3	433.4	1313.2	473.2	1339.5	493.6	1315.6	492.0	1314.5	5
o						s25	f		0			AH	0	A	LITTLE	BIT	569.6	1296.1	2418.8	156.0	370.3	798.5	28.864	28.847	28.897	0.05	@	ə	lateral	apical	voiced	oral_apical				T	L	internal	4	AH0	L IH1 T AH0 L	B IH1 T	548.9	1286.6	548.9	1286.6	578.9	1314.0	607.5	1398.4	607.5	1398.4	6
o						s25	f		0			IH	0	AGAIN	IF	YOU	384.7	1657.9	2887.9	369.4	753.3	296.4	29.287	29.247	29.367	0.12	i	ɪ	fricative	labiodental	voiceless					N	F	initial	1	AH0 G EH1 N	IH0 F	Y UW1	505.7	2076.4	373.0	1556.7	450.2	1668.7	447.8	1695.9	451.1	1716.6	5
o						s25	f		0			EY	1	YOU	SAY	IT	502.5	2091.7	2854.3	77.7	739.0	282.0	29.706	29.667	29.747	0.08	eyF	ejF				oral_apical				S	IH0	final	2	Y UW1	S EY1	IH0 T	423.0	2078.2	452.6	2053.3	505.4	2101.6	551.9	2240.7	564.1	2265.7	5
