s31, y, f, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
EH	1	YES	693.0	1734.0	6.881	6.828	6.988	0.16	2	3	4	1	9	0			497.0	2231.0	672.0	1763.0	739.0	1662.0	685.0	1503.0	533.0	1418.0	4	
AY	1	I'M	969.0	1327.0	17.147	17.134	17.344	0.21	41	4	1	2	0	0			1045.0	1373.0	937.0	1431.0	839.0	1681.0	652.0	1784.0	462.0	2060.0	4	
ER	1	WORKING	713.0	1147.0	17.497	17.464	17.564	0.1	94	1	6	1	9	1			688.0	939.0	706.0	1111.0	702.0	1237.0	590.0	1423.0	485.0	1474.0	5	
IH	0	WORKING	426.0	1550.0	17.691	17.664	17.744	0.08	1	4	6	2	6	0			362.0	470.0	409.0	972.0	433.0	1325.0	368.0	518.0	356.0	514.0	6	
IY	1	HERE	419.0	2536.0	17.944	17.904	18.024	0.12	14	6	4	2	0	0			282.0	2686.0	383.0	2567.0	487.0	2365.0	508.0	2156.0	541.0	1926.0	4	
AH	1	BUT	771.0	1551.0	18.975	18.942	19.042	0.1	6	1	4	1	1	0			811.0	2009.0	762.0	1529.0	783.0	1653.0	778.0	1779.0	781.0	1856.0	3	
ER	1	WORKING	755.0	1415.0	19.338	19.311	19.391	0.08	94	1	6	1	9	1			810.0	1828.0	764.0	1414.0	731.0	1542.0	773.0	1572.0	702.0	1587.0	3	
IH	0	WORKING	698.0	2580.0	19.531	19.491	19.611	0.12	1	4	6	2	6	0			577.0	2412.0	707.0	2565.0	666.0	2602.0	648.0	2579.0	647.0	2558.0	5	
AH	1	UM	839.0	1333.0	20.607	20.544	20.734	0.19	6	4	1	2	0	0			877.0	1434.0	849.0	1340.0	788.0	922.0	792.0	1218.0	747.0	1010.0	5	
ER	1	WORK	604.0	863.0	20.857	20.834	20.904	0.07	94	1	6	1	9	0			574.0	778.0	588.0	834.0	596.0	838.0	588.0	1152.0	598.0	1261.0	6	
AH	1	STUDY	711.0	1800.0	21.141	21.114	21.194	0.08	6	1	4	2	3	1			639.0	1803.0	677.0	1808.0	737.0	1788.0	722.0	1797.0	690.0	1783.0	6	
IY	0	STUDY	513.0	2448.0	21.274	21.244	21.334	0.09	12	0	0	0	3	0			525.0	2276.0	515.0	2394.0	512.0	2542.0	535.0	2599.0	526.0	2622.0	5	
OW	1	SO	723.0	1568.0	21.824	21.816	21.906	0.09	63	0	0	0	3	0			723.0	1568.0	718.0	1531.0	693.0	1388.0	647.0	1253.0	627.0	1219.0	5	
IH	0	IT'S	594.0	1366.0	21.926	21.906	21.966	0.06	1	1	4	1	0	3			605.0	1308.0	604.0	1315.0	582.0	1436.0	548.0	1533.0	544.0	1539.0	5	
AY	1	TIME	903.0	1559.0	22.725	22.726	22.986	0.26	41	4	1	2	3	0			764.0	1508.0	738.0	1462.0	705.0	1533.0	680.0	1710.0	616.0	1983.0	6	
AH	0	AND	639.0	2050.0	23.979	23.829	24.279	0.45	*	4	4	2	0	3			622.0	2393.0	639.0	2050.0	674.0	1894.0	704.0	1835.0	662.0	1763.0	5	
AY	1	I	924.0	1420.0	25.272	25.247	25.677	0.43	41	0	0	0	0	0			873.0	1496.0	759.0	1665.0	605.0	2194.0	496.0	2578.0	440.0	2651.0	4	
UH	1	FULL	482.0	564.0	26.583	26.563	26.623	0.06	7	5	4	2	1	0			488.0	684.0	481.0	682.0	522.0	518.0	524.0	555.0	523.0	569.0	6	
AY	1	TIME	942.0	1473.0	26.794	26.793	26.883	0.09	41	4	1	2	3	0		m	944.0	1502.0	914.0	1496.0	802.0	1513.0	776.0	1670.0	743.0	1692.0	5	
UW	1	STUDENT	390.0	1543.0	27.13	27.123	27.183	0.06	73	1	4	2	3	1			390.0	1543.0	395.0	1526.0	458.0	1834.0	471.0	1984.0	471.0	1981.0	5	
AH	0	STUDENT	467.0	1779.0	27.243	27.213	27.303	0.09	*	4	4	2	3	3			373.0	1818.0	436.0	1783.0	534.0	1764.0	513.0	1714.0	444.0	1657.0	5	
OW	1	SO	548.0	1669.0	28.325	28.262	28.462	0.2	63	0	0	0	3	0			807.0	1651.0	541.0	1674.0	738.0	1322.0	589.0	1029.0	559.0	862.0	5	
AY	1	I	904.0	1688.0	29.297	29.289	29.359	0.07	41	0	0	0	0	0		m	593.0	1594.0	833.0	1657.0	900.0	1742.0	870.0	1753.0	817.0	1685.0	5	
AH	1	WAS	719.0	1264.0	29.489	29.449	29.569	0.12	6	3	4	2	9	0			584.0	1000.0	699.0	1213.0	740.0	1372.0	692.0	1475.0	559.0	1465.0	5	
ER	1	WORKING	669.0	1266.0	29.726	29.699	29.779	0.08	94	1	6	1	9	1			605.0	951.0	651.0	1111.0	668.0	1411.0	542.0	1467.0	598.0	1719.0	4	
IH	0	BEFORE	452.0	963.0	30.466	30.449	30.499	0.05	1	3	2	1	1	1			487.0	1099.0	487.0	1099.0	506.0	986.0	508.0	908.0	508.0	908.0	5	
IH	0	IT	727.0	1711.0	30.922	30.899	30.969	0.07	1	1	4	1	0	0			741.0	1682.0	735.0	1700.0	714.0	1730.0	689.0	1789.0	681.0	1796.0	5	
IH	0	IT	586.0	2019.0	31.263	31.24	31.31	0.07	1	1	4	1	0	0			592.0	2005.0	585.0	2015.0	632.0	1943.0	647.0	1660.0	647.0	1610.0	5	
AY	1	I	847.0	1698.0	31.981	31.965	32.044	0.079	41	0	0	0	0	0			695.0	1776.0	805.0	1631.0	829.0	1784.0	781.0	2067.0	731.0	2352.0	5	
IY	1	NEEDED	399.0	2768.0	32.117	32.084	32.184	0.1	11	1	4	2	4	1			399.0	2806.0	402.0	2769.0	395.0	2771.0	383.0	2755.0	363.0	2673.0	3	
IH	0	NEEDED	413.0	1973.0	32.238	32.215	32.285	0.07	1	1	4	2	3	0			392.0	2081.0	403.0	2011.0	428.0	1946.0	426.0	1885.0	421.0	1874.0	4	
