s33, y, m, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
AY	1	MY	817.0	1370.0	2.533	2.498	2.568	0.07	41	0	0	0	2	0		s	379.0	918.0	534.0	954.0	787.0	1160.0	823.0	1496.0	823.0	1464.0	5	
EY	1	NAME	605.0	2107.0	2.64	2.618	2.728	0.11	21	4	1	2	4	0			598.0	2067.0	601.0	2120.0	580.0	2189.0	567.0	2214.0	553.0	2222.0	4	
IH	0	IS	543.0	1784.0	2.818	2.798	2.858	0.06	1	3	4	2	0	0			548.0	1796.0	548.0	1795.0	527.0	1764.0	484.0	1715.0	478.0	1715.0	4	
OW	2	OKAY	587.0	1691.0	13.95	13.918	14.048	0.13	62	1	6	1	0	1			716.0	1796.0	599.0	1661.0	658.0	1461.0	656.0	1336.0	552.0	1312.0	5	
EY	1	OKAY	732.0	1899.0	14.183	14.118	14.248	0.13	22	0	0	0	6	0			595.0	2039.0	710.0	1898.0	732.0	1899.0	738.0	1974.0	663.0	2146.0	4	
OW	1	OH	713.0	1187.0	31.687	31.646	31.816	0.17	63	0	0	0	0	0			698.0	1219.0	734.0	1200.0	757.0	1239.0	717.0	1293.0	644.0	1562.0	6	
IH	0	JUST	534.0	1855.0	31.903	31.886	31.936	0.05	1	3	4	1	5	3			507.0	1872.0	507.0	1872.0	569.0	1836.0	585.0	1783.0	585.0	1783.0	5	
OW	1	GOING	560.0	1497.0	32.813	32.793	32.873	0.08	62	0	0	0	6	1			532.0	1754.0	564.0	1456.0	600.0	972.0	829.0	1780.0	1008.0	2126.0	4	
IH	0	GOING	729.0	1237.0	32.893	32.873	32.933	0.06	1	4	6	2	0	0			718.0	1128.0	721.0	1141.0	712.0	1376.0	558.0	1202.0	536.0	1156.0	6	
AW	1	DOWN	722.0	1811.0	33.046	33.013	33.143	0.13	42	4	4	2	3	0			628.0	1732.0	739.0	1798.0	798.0	1629.0	808.0	1432.0	803.0	1215.0	6	
AY	1	LIKE	794.0	1857.0	33.271	33.253	33.353	0.1	47	1	6	1	7	0			794.0	1857.0	763.0	1094.0	727.0	1854.0	576.0	1913.0	455.0	2186.0	4	
OW	1	OH	750.0	1254.0	35.139	35.119	35.199	0.08	63	0	0	0	0	0			648.0	1362.0	750.0	1254.0	775.0	1036.0	829.0	904.0	842.0	843.0	6	
AY	1	I	864.0	812.0	35.195	35.199	35.349	0.15	41	0	0	0	0	0			864.0	808.0	836.0	960.0	827.0	1536.0	741.0	1864.0	611.0	1924.0	6	
IH	0	IT'S	529.0	925.0	41.809	41.792	41.842	0.05	1	1	4	1	0	3			518.0	1025.0	518.0	1025.0	605.0	1054.0	599.0	1222.0	599.0	1222.0	6	
AY	1	LIKE	685.0	1330.0	41.94	41.932	41.992	0.06	47	1	6	1	7	0			621.0	1059.0	631.0	1000.0	685.0	1330.0	580.0	1881.0	520.0	2004.0	6	
IH	0	IT'S	510.0	2109.0	42.049	42.032	42.082	0.05	1	1	4	1	0	3			490.0	2094.0	490.0	2094.0	534.0	2066.0	550.0	1989.0	550.0	1989.0	5	
AA	1	FALLING	773.0	859.0	42.282	42.252	42.342	0.09	5	5	4	2	1	1			724.0	858.0	762.0	859.0	805.0	848.0	804.0	817.0	759.0	800.0	5	
IH	0	FALLING	751.0	1317.0	42.415	42.392	42.462	0.07	1	4	6	2	7	0			745.0	1112.0	749.0	1196.0	742.0	1523.0	663.0	1686.0	599.0	1797.0	4	
OW	1	OH	629.0	1523.0	42.704	42.652	43.012	0.36	63	0	0	0	0	0			644.0	1504.0	595.0	1140.0	546.0	1470.0	581.0	1160.0	606.0	1362.0	6	
IH	0	IT	827.0	1876.0	43.052	43.012	43.132	0.12	1	1	4	1	0	0			836.0	1621.0	831.0	1843.0	784.0	1948.0	745.0	1909.0	871.0	1998.0	6	
IH	1	IT	466.0	1298.0	43.425	43.342	43.592	0.25	1	1	4	1	0	0			1015.0	2441.0	953.0	2855.0	751.0	2124.0	738.0	1929.0	755.0	1926.0	5	
OW	1	GO	783.0	1470.0	43.878	43.822	43.952	0.13	63	0	0	0	6	0			628.0	1838.0	727.0	1657.0	806.0	1386.0	882.0	1121.0	1010.0	1323.0	6	
UW	1	COOL	262.0	1067.0	46.874	46.857	46.907	0.05	72	5	4	2	6	0			237.0	1150.0	237.0	1150.0	329.0	974.0	479.0	864.0	479.0	864.0	6	
ER	1	PERFECT	531.0	1060.0	47.491	47.468	47.538	0.07	94	3	2	1	1	1			423.0	1082.0	452.0	1038.0	602.0	1145.0	569.0	1104.0	563.0	1077.0	5	
IH	2	PERFECT	655.0	1684.0	47.621	47.598	47.668	0.07	1	1	6	1	1	3			808.0	1686.0	669.0	1650.0	636.0	1746.0	609.0	1888.0	591.0	1918.0	6	
OW	2	OKAY	789.0	1691.0	76.036	76.008	76.138	0.13	62	1	6	1	0	1			711.0	1502.0	753.0	1611.0	695.0	1281.0	709.0	1153.0	627.0	990.0	6	
EY	1	OKAY	766.0	1935.0	76.253	76.178	76.328	0.15	22	0	0	0	6	0			545.0	1909.0	661.0	1931.0	766.0	1935.0	824.0	1944.0	798.0	1973.0	6	
OW	2	OKAY	659.0	1395.0	91.477	91.464	91.534	0.07	62	1	6	1	0	1			660.0	1409.0	651.0	1331.0	631.0	1092.0	631.0	1035.0	642.0	1071.0	6	
EY	1	OKAY	704.0	1986.0	91.624	91.574	91.704	0.13	22	0	0	0	6	0			461.0	1999.0	665.0	1958.0	670.0	2023.0	621.0	2085.0	581.0	2139.0	5	
AH	1	UH	806.0	1349.0	91.997	91.854	92.284	0.43	6	0	0	0	0	0			875.0	1546.0	806.0	1349.0	839.0	1323.0	868.0	1409.0	853.0	1492.0	5	
AY	1	MY	826.0	1592.0	92.379	92.354	92.414	0.06	41	0	0	0	2	0		s	804.0	1025.0	743.0	1040.0	814.0	1440.0	820.0	1710.0	818.0	1764.0	5	
EY	1	NAME	775.0	2030.0	92.466	92.454	92.514	0.06	21	4	1	2	4	0			765.0	1974.0	770.0	1989.0	752.0	2070.0	680.0	2046.0	676.0	2044.0	4	
AE	1	AM	688.0	1769.0	95.339	95.296	95.426	0.13	3	4	1	2	0	0			700.0	1689.0	682.0	1785.0	687.0	1786.0	754.0	1819.0	816.0	1742.0	6	
AH	0	AN	701.0	1667.0	95.503	95.486	95.536	0.05	*	4	4	2	0	0			653.0	1536.0	653.0	1536.0	732.0	1798.0	772.0	1824.0	772.0	1824.0	5	
AH	1	UNDERGRAD	797.0	1486.0	95.586	95.566	95.626	0.06	6	4	4	2	0	5			747.0	1469.0	766.0	1478.0	811.0	1475.0	807.0	1474.0	806.0	1477.0	6	
ER	0	UNDERGRAD	529.0	1455.0	95.723	95.706	95.756	0.05	94	1	6	2	3	1			526.0	1505.0	526.0	1505.0	532.0	1390.0	499.0	1295.0	499.0	1295.0	6	
AE	2	UNDERGRAD	851.0	1752.0	95.916	95.866	96.016	0.15	3	1	4	2	8	0			741.0	1700.0	839.0	1751.0	866.0	1751.0	817.0	1519.0	750.0	1835.0	5	
EY	1	MAJOR	684.0	2135.0	96.365	96.336	96.436	0.1	21	2	5	2	2	1			628.0	1909.0	684.0	2131.0	641.0	2233.0	517.0	1882.0	450.0	1252.0	5	
ER	0	MAJOR	506.0	1401.0	96.559	96.526	96.626	0.1	94	0	0	0	5	0			420.0	1618.0	491.0	1344.0	539.0	1401.0	558.0	1371.0	571.0	1278.0	6	
IH	0	IN	642.0	1944.0	96.646	96.626	96.686	0.06	1	4	4	2	0	0			640.0	1856.0	641.0	1876.0	617.0	2020.0	545.0	2066.0	541.0	2069.0	4	
ER	1	GERMAN	497.0	1249.0	96.866	96.836	96.926	0.09	94	4	1	2	5	1			587.0	1750.0	488.0	1322.0	564.0	1218.0	613.0	1190.0	574.0	1038.0	5	
AH	0	GERMAN	674.0	1575.0	96.986	96.966	97.026	0.06	*	4	4	2	2	0			722.0	1494.0	724.0	1524.0	726.0	1895.0	722.0	1904.0	709.0	1850.0	5	
AE	1	AND	722.0	1985.0	97.093	97.076	97.126	0.05	3	4	4	2	0	3			730.0	1825.0	730.0	1825.0	709.0	2066.0	679.0	2082.0	679.0	2082.0	6	
IH	1	HISTORY	530.0	2041.0	97.316	97.296	97.356	0.06	1	3	4	1	0	5			1000.0	2410.0	940.0	2365.0	505.0	1917.0	498.0	1814.0	490.0	1851.0	4	
IY	0	HISTORY	397.0	2274.0	97.643	97.576	97.776	0.2	12	0	0	0	7	0			442.0	1966.0	401.0	2252.0	401.0	2441.0	373.0	2606.0	379.0	2300.0	5	
